Nature  är en framstående brittisk vetenskaplig veckotidskrift som började utges 4 november 1869 och grundades av Norman Lockyer.,Sweedish
Den är världens mest citerade interdisciplinära vetenskapliga tidskrift.,Sweedish
[3] Fler än 1 700 artiklar har över åren författats av drygt 275 nobelpristagare.,Sweedish
[1] De flesta vetenskapliga tidskrifter är numera högt specialiserade men Nature är bland ett fåtal tidskrifter (veckotidskrifterna Science and Proceedings of the National Academy of Sciences är också framstående exempel) som fortfarande publicerar originalartiklar inom ett brett spektrum av vetenskapliga områden.,Sweedish
Det är många vetenskapliga områden inom vilka viktiga nya framsteg publiceras antingen i artikelform eller som brev i Nature.,Sweedish
Wikipedia (svenskt uttal: [vɪkɪ'peːdɪa]) är en wiki och en mångspråkig webbaserad encyklopedi.,Sweedish
"Den har i huvudsak fritt och öppet innehåll som utvecklas av sina användare, ofta benämnda wikipedianer.",Sweedish
[2] Den består till stor del av referat av källor skrivna av experter.,Sweedish
"Wikipedia lanserades den 15 januari 2001 av Jimmy Wales och Larry Sanger, ursprungligen i en engelskspråkig version, och är det mest besökta uppslagsverket på internet.",Sweedish
Svenskspråkiga Wikipedia startades den 23 maj 2001.,Sweedish
Wikipedia är (2020) rankad som världens trettonde och Sveriges åttonde mest besökta webbplats enligt Alexa.,Sweedish
[1] Wikipedia drivs av den icke-vinstinriktade stiftelsen Wikimedia Foundation med stöd av privata donatorer.,Sweedish
"Projektet bygger på wikiprogramvaran Mediawiki, som är uteslutande fri och har öppen källkod.",Sweedish
"Wikipedia grundades 15 januari 2001 av internetentreprenören Jimmy Wales och filosofen Larry Sanger, båda knutna till Wales internetföretag Bomis.",Sweedish
"De hade under år 2000 försökt starta uppslagsverket Nupedia, vilket dock begränsades av strikta krav på skribenterna.",Sweedish
"[3] Genom att använda wikitekniken, det vill säga en sökbar webbplats där sidorna enkelt och snabbt kan redigeras av besökarna, lyckades man få igång skrivandet.",Sweedish
"Wikipedia var från början enbart engelskspråkigt, men 15 mars 2001 togs initiativet till flera språk.",Sweedish
"[4] Först ut var tyska,[5] tätt följt av katalanska och japanska.",Sweedish
Dessa tre var i gång före utgången av mars.,Sweedish
Den 11 maj 2001 lades ytterligare nio stora språk till.,Sweedish
[6] Före utgången av 2001 fanns Wikipedia på 18 språk.,Sweedish
"Engelskspråkiga Wikipedia har hela tiden varit störst och hade i december 2019 5,9 miljoner artiklar.",Sweedish
