"ഭൗതികപ്രപഞ്ചത്തെ മൊത്തത്തിൽ സൂചിപ്പിക്കുന്ന പദമാണ് പ്രകൃതി (ജർമൻ: Natur, ഫ്രഞ്ച്, ഇംഗ്ലീഷ്: Nature, സ്പാനിഷ്: Naturaleza, പോർച്ചുഗീസ്: Natureza).",Malayalam
ഭൗതികപ്രതിഭാസങ്ങളും ജീവനും പ്രകൃതിയുടെ ഘടകങ്ങളാണ്.,Malayalam
മനുഷ്യനിർമിതമായ വസ്തുക്കളെ പ്രകൃതിയുടെ ഭാഗമായി കണക്കാക്കാറില്ല.,Malayalam
അവയെ കൃത്രിമം എന്ന് വിശേഷിപ്പിക്കുന്നുഅഭിപ്രായസ്വാതന്ത്ര്യം ഇംഗ്ലീഷ് പദമായ nature എന്നതിൻറെ ഉൽപത്തി ലാറ്റിൻ പദമായ natura എന്നതിൽ നിന്നാണ്.,Malayalam
പ്രകൃതി എന്ന പദം പ്രപഞ്ചത്തെയും അതിലെ സമസ്ത പ്രതിഭാസങ്ങളെയും ഉൾ‍ക്കൊള്ളുന്നു.,Malayalam
അറിയപ്പെടുന്ന ഗ്രഹങ്ങളിൽ ജീവൻ നിലനിൽക്കുന്നതായി അറിവുള്ള ഏകഗ്രഹമാണ് ഭൂമി.,Malayalam
സൗരയൂഥത്തിൽ സൂര്യനിൽ നിന്ന് മൂന്നാം സ്ഥാനമാണ് ഭൂമിക്ക് ഉള്ളത്.,Malayalam
പ്രപഞ്ചത്തിലെ വസ്തുക്കളുടെ അന്തരീക്ഷത്തിന് പുറത്തുള്ള താരതമ്യേന ശൂന്യമായ സ്ഥലത്തെ ബഹിരാകാശം എന്ന് പറയുന്നു(?).,Malayalam
"ദർശനം ശാസ്ത്രം ==കുറിപ്പുകളും അവലംബങ്ങളും==ഉരുൾപൊട്ടൽ   The image must be attributed with a credit line reading ""Reprinted by permission from Macmillan Publishers Ltd: Nature {{{1}}}, copyright {{{2}}}"", and a hyperlink to nature's homepage.",Malayalam
"Atmospheric sciences ·
പരിതഃസ്ഥിതിക ശാസ്ത്രം ·
Geosciences ·
Soil science ·
ഹൈഡ്രോളജി അനുബദ്ധ വിഷയങ്ങൾ: ജീവശാസ്ത്രം ·
രസതന്ത്രം ·
Environmental design ·
Environmental economics ·
Environmental ethics ·
Environmental law ·
ഭൗതികശാസ്ത്രം ·
Pollution control ·
Sustainability ·
പാഴ്വസ്തു കൈകാര്യം Environmental technology  എല്ലാ ഭാഷകളിലും സ്വതന്ത്രവും സമ്പൂർണവുമായ വിജ്ഞാനകോശം നിർമ്മിക്കുവാനുള്ള ഒരു കൂട്ടായ സംരംഭമാണ് വിക്കിപീഡിയ (ഇംഗ്ലീഷ്: Wikipedia).",Malayalam
ലാഭേച്ഛയില്ലാതെ പ്രവർത്തിക്കുന്ന വിക്കിമീഡിയ ഫൗണ്ടേഷന്റെ പിന്തുണയോടെയാണ് ഈ പദ്ധതി പ്രവർത്തിക്കുന്നത്.,Malayalam
വിക്കിപീഡിയയിലെ ഉള്ളടക്കം ഗ്നൂ സ്വതന്ത്ര പ്രസിദ്ധീകരണാനുമതി പ്രകാരം ലഭ്യമായതിനാൽ എപ്പോഴും സ്വതന്ത്രവും സൗജന്യവും ആയിരിക്കും.,Malayalam
എങ്കിലും ചില പതിപ്പുകളിൽ സ്വതന്ത്രമല്ലാത്ത ഉള്ളടക്കവും നിലവിലുണ്ട്.,Malayalam
"വിക്കിപീഡിയ എന്ന പേര്, വിക്കി, എൻസൈക്ലോപീഡിയ എന്നീ പദങ്ങളുടെ ഒരു മിശ്രശബ്ദമാണ്.",Malayalam
ലോകം മുഴുവനും വ്യാപിച്ചു കിടക്കുന്ന സന്നദ്ധ സേവന  തൽപരരായ ഉപയോക്താക്കൾ  സഹകരണത്തോടെ പ്രവർത്തിച്ചാണ് വിക്കിപീഡിയയിൽ ലേഖനങ്ങൾ എഴുതുന്നത്‌.,Malayalam
"ലേഖനം എഴുതുവാനും,  മിക്കവാറും എല്ലാ ലേഖനങ്ങളും തിരുത്തി എഴുതുവാനും ഏവർക്കും സ്വാതന്ത്ര്യവും സൗകര്യവും വിക്കിപീഡിയ അനുവദിക്കുന്നുണ്ട്.",Malayalam
"ജിമ്മി വെയിൽ‌സ്, ലാറി സാങർ എന്നിവർ 2001 ജനുവരി 15നാണ്‌ വിക്കിപീഡിയ പദ്ധതിക്ക് തുടക്കംകുറിച്ചത്‌.",Malayalam
വിദഗ്ദ്ധന്മാർ ലേഖനങ്ങളെഴുതിയ നൂപീഡിയ എന്ന വെബ്‌ വിജ്ഞാനകോശത്തിന്റെ പൂരകസംവിധാനമായാണ്‌ വിക്കിപീഡിയ ആരംഭിച്ചത്‌.,Malayalam
ജനകീയ പങ്കാളിത്തത്തിലൂടെ മാതൃവെബ്‌സൈറ്റിനെക്കാൾ പ്രശസ്തി കൈവരിക്കാൻ വിക്കിപീഡിയയ്ക്ക് സാധിച്ചു.,Malayalam
ഇന്ന് ഇന്റർനെറ്റിൽ ഏറ്റവും പ്രശസ്തമായ പൊതു-അവലംബ ഉദ്യമമായി വിക്കിപീഡിയ കണക്കാക്കപ്പെടുന്നു.വിക്കിസോഫ്‌റ്റ്‌വെയർ എന്ന സംവിധാനമാണ്‌ ഈ സ്വതന്ത്രവിജ്ഞാനകോശത്തിന്റെ അടിസ്ഥാനം.,Malayalam
292 ഭാഷകളിൽ വിക്കിപീഡിയയുടെ പതിപ്പുകളുണ്ട്‌.,Malayalam
"6,113,330 ൽ അധികം  ലേഖനങ്ങളുള്ള ഇംഗ്ലീഷ്‌ പതിപ്പാണ്‌ (http://en.wikipedia.org) ഈ സംരംഭത്തിന്റെ പതാകവാഹക.",Malayalam
മലയാളമടക്കം 20 ഇന്ത്യൻഭാഷകളിലും വിക്കിപീഡിയ പ്രവർത്തിക്കുന്നു.,Malayalam
ആർക്കും എഴുതാവുന്ന ഒരു സ്വതന്ത്രവിജ്ഞാനകോശം എന്ന ആശയം സ്വതന്ത്ര സോഫ്റ്റ് വെയറിന്റെ പ്രണേതാവായ റിച്ചാർഡ് സ്റ്റാൾമാൻ 1999-ൽ മുന്നോട്ടു വച്ചിരുന്നു[5][6].,Malayalam
ആ ആശയത്തിനെ പ്രാവർത്തികമാക്കാനുള്ള ആദ്യശ്രമം റിക്ക് ഗേറ്റ്സിന്റെ ഇന്റർപീഡിയ ആയിരുന്നു[7][8].,Malayalam
എങ്കിലും അത്‌ പ്ലാനിങ് ഘട്ടം കഴിഞ്ഞ് അധികം മുന്നോട്ടുപോയില്ല.,Malayalam
അതത് വിഷയങ്ങളിലെ പ്രമുഖരുടെ ലേഖനങ്ങൾക്ക്‌ പ്രാധാന്യം കൊടുത്തുകൊണ്ടുള്ള ന്യൂപീഡിയ ആയിരുന്നു അടുത്തത്‌.,Malayalam
ജിമ്മി വെയിൽ‌സും സഹായി ലാരി സാങറും ആയിരുന്നു അതിന്റെ ശിൽപ്പികൾ[9][10].,Malayalam
"ലേഖനങ്ങളുടെ ഗുണമേന്മയ്ക്കു കൊടുത്തിരുന്ന അമിതപ്രാധാന്യമാവാം, അതിന്റെ വളർച്ച മെല്ലെയായിരുന്നു.",Malayalam
"അതുകൊണ്ട്‌, ന്യൂപീഡിയയെ സഹായിക്കാനായി പൊതുജനങ്ങൾക്കെല്ലാം ഒരു പോലെ എഡിറ്റ് ചെയ്യാനാവുന്ന വിക്കിപീഡിയ എന്ന സംരംഭം ജിമ്മി വെയിൽ‌സും സഹായി ലാരി സാങറും ചേർന്ന് ആരംഭിച്ചു.",Malayalam
